AUTHOR_NAME,PUB_TITLE,PUB_YEAR,PUB_AUTHORS,PUB_TYPE,PUB_PUBLISHER,PUB_ISBN,PUB_DOI,PUB_CITATIONS,JOU_RATING_VHB,JOU_RATING_SCIMAGO,UPDATED,PUB_AUTHORS_LIST
Ulf-Daniel Ehlers,Students' Perspectives and strategies on studying at home in times of COVID-19. Learnings from Podcast Conversations and an Online Survey,2020,"Ehlers, Ulf-Daniel; Eigbrecht, Laura",ContributionConferenceProceedings,,,,,,,,"['Ulf-Daniel Ehlers', 'Laura Eigbrecht']"
Ulf-Daniel Ehlers,Vom Shutdown zum NextNormal – Podcasts zur Zukunft der Hochschulbildung aus Sicht von Studierenden,2020,"Ehlers, Ulf-Daniel; Eigbrecht, Laura; Bonaudo, Patricia",ContributionConferenceProceedings,,,,,,,,"['Ulf-Daniel Ehlers', 'Laura Eigbrecht', 'Patricia Bonaudo']"
Ulf-Daniel Ehlers,"Reframing Working, Rethinking Learning: The Future Skills Turn",2020,"Ehlers, Ulf-Daniel; Eigbrecht, Laura",ContributionConferenceProceedings,,,,,,,,"['Ulf-Daniel Ehlers', 'Laura Eigbrecht']"
Ulf-Daniel Ehlers,A European ethical reference framework for Ai and big data in higher education: A proposal for Discussion,2020,"Ehlers, Ulf-Daniel; Bonaudo, Patricia",ContributionConferenceProceedings,,,,,,,,"['Ulf-Daniel Ehlers', 'Patricia Bonaudo']"
Ulf-Daniel Ehlers,DIGI-HE – A strategic reflection tool on digitalisation at European higher education institutions,2020,"Ehlers, Ulf-Daniel; Bonaudo, Patricia",ContributionConferenceProceedings,,,,,,,,"['Ulf-Daniel Ehlers', 'Patricia Bonaudo']"
Ulf-Daniel Ehlers,Students’ Perspectives on studying online in Times of Covid19 Learnings from Podcast conversations,2020,"Ehlers, Ulf-Daniel; Eigbrecht, Laura",ContributionConferenceProceedings,,,,,,,,"['Ulf-Daniel Ehlers', 'Laura Eigbrecht']"
Ulf-Daniel Ehlers,Future Skills for a European Higher Education,2020,"Ehlers, Ulf-Daniel",ContributionConferenceProceedings,,,,,,,,['Ulf-Daniel Ehlers']
Ulf-Daniel Ehlers,Future Skills für Absolvent*innen der Zukunft,2020,"Ehlers, Ulf-Daniel",ContributionBookEdited,,,,,,,,['Ulf-Daniel Ehlers']
Ulf-Daniel Ehlers,"Reframing working, Rethinking Learning: Future Skills for Future Learning",2020,"Ehlers, Ulf-Daniel",ContributionBookEdited,,,,,,,,['Ulf-Daniel Ehlers']
Ulf-Daniel Ehlers,Future Skills für die Welt von morgen,2020,"Ehlers, Ulf-Daniel",ContributionBookEdited,,,,,,,,['Ulf-Daniel Ehlers']
Ulf-Daniel Ehlers,Lehren mit offenen Bildungsressourcen – Kompetenzrahmen für „open educators“,2020,"Ehlers, Ulf-Daniel; Bonaudo, Patricia",ContributionBookEdited,,,,,,,,"['Ulf-Daniel Ehlers', 'Patricia Bonaudo']"
