employee_name,first_matched_job_title,employee_name_clean,location,year_stored
"Schäfer, Christian Hans, Prof. Dr.",professor,Christian Hans Schäfer,mannheim,2022
"Scheel, Michael, Prof. Dr.",professor,Michael Scheel,mannheim,2022
"Scherer, Maximilian, Prof. Dr.",professor,Maximilian Scherer,mannheim,2022
"Schief, Markus, Prof. Dr.",professor,Markus Schief,mannheim,2022
"Schirl, Thomas, Prof. Dr.",professor,Thomas Schirl,mannheim,2022
"Schlottmann, Norbert, Prof.",professor,Norbert Schlottmann,mannheim,2022
"Schmitz, Sven, Prof. Dr.",professor,Sven Schmitz,mannheim,2022
"Schneider, Christoffer, Prof. Dr.",professor,Christoffer Schneider,mannheim,2022
"Schneider, Michael, Prof. Dr.",professor,Michael Schneider,mannheim,2022
"Schneider, Willy, Prof. Dr.",professor,Willy Schneider,mannheim,2022
"Schorer, Linda, M. Eng.",akademisch,Linda Schorer,mannheim,2022
"Schröder, Michael, Prof. Dr.",professor,Michael Schröder,mannheim,2022
"Schröer, Carsten, Prof. Dr.",professor,Carsten Schröer,mannheim,2022
"Schubert, Lars, Prof. Dr.",professor,Lars Schubert,mannheim,2022
"Schulz, Volker, Prof. Dr.",professor,Volker Schulz,mannheim,2022
"Schumacher, Kira, Prof. Dr.",professor,Kira Schumacher,mannheim,2022
"Schuster, Thomas, Prof. Dr.",professor,Thomas Schuster,mannheim,2022
"Seidel, Carsten, Prof. Dr.",professor,Carsten Seidel,mannheim,2022
"Sendler-Kortenkamp, Liliana, Dr.",dr.,Liliana Sendler-Kortenkamp,mannheim,2022
"Sobirey, Frank, Prof. Dr.",professor,Frank Sobirey,mannheim,2022
"Stanske, Christian, Prof.",professor,Christian Stanske,mannheim,2022
"Staub, Sarah, Prof. Dr.-Ing.",professor,Sarah Staub,mannheim,2022
"Stepanel, Natalja",akademisch,Natalja Stepanel,mannheim,2022
"Steurer, Vivian",akademisch,Vivian Steurer,mannheim,2022
"Stroetmann, Karl, Prof. Dr.",professor,Karl Stroetmann,mannheim,2022
"Stützer, Michael, Prof. Dr.",professor,Michael Stützer,mannheim,2022
"Sudermann-Merx, Nathan, Prof. Dr.",professor,Nathan Sudermann-Merx,mannheim,2022
"Teichmann, Michael, Prof. Dr.",professor,Michael Teichmann,mannheim,2022
"Thalmeier, Petra, Prof. Dr.",professor,Petra Thalmeier,mannheim,2022
"Tornow, Kai",akademisch,Kai Tornow,mannheim,2022
"Ullmann, Michael, Prof. Dr.",professor,Michael Ullmann,mannheim,2022
"Vesali, Alireza, Prof. Dr.-Ing.",professor,Alireza Vesali,mannheim,2022
"Vogt, Jan Günther, Prof. Dr.-Ing.",professor,Jan Günther Vogt,mannheim,2022
"Vogt, Jonas, Prof. Dr.",professor,Jonas Vogt,mannheim,2022
"Voigt, Sebastian, Dr.",dr.,Sebastian Voigt,mannheim,2022
"Voß, Markus, Prof. Dr.",professor,Markus Voß,mannheim,2022
"Vranckx, Christian, Prof. Dr.",professor,Christian Vranckx,mannheim,2022
"Vu, Bernhard, Dr.",dr.,Bernhard Vu,mannheim,2022
"Wannenwetsch, Helmut, Prof. Dr.",professor,Helmut Wannenwetsch,mannheim,2022
"Weigel, Miriam, Dr.",akademisch,Miriam Weigel,mannheim,2022
"Weinland, Lothar, Prof. Dr.",professor,Lothar Weinland,mannheim,2022
"Werling, Stefan, Prof. Dr.",professor,Stefan Werling,mannheim,2022
"Werner, Bernd, Prof. Dr.",professor,Bernd Werner,mannheim,2022
"Wiedemann, Armin, Prof. Dr.",professor,Armin Wiedemann,mannheim,2022
"Wolf, Bernhard, Prof.",professor,Bernhard Wolf,mannheim,2022
"Wolff, Frank, Prof. Dr.",professor,Frank Wolff,mannheim,2022
