employee_name,first_matched_job_title,employee_name_clean,location,year_stored
"Kopra-Schäfer, Prof. Dr. Monika",Professorin Fakultät Technik,Monika Kopra-Schäfer,karlsruhe,2021
"Korbmann,  Monika",Aakademische Mitarbeiterin im Projekt 3D-ThermoCell,Monika Korbmann,karlsruhe,2021
"Kühn, Prof. Dr.-Ing. Ralf",Professor Fakultät Technik,Ralf Kühn,karlsruhe,2021
"Kunze,  Katharina",Akademische Mitarbeiterin (Lerntechnologie und Digitalisierung),Katharina Kunze,karlsruhe,2021
"Landwehr-Zloch, Prof. Dr. Sabine",Professorin Fakultät Wirtschaft,Sabine Landwehr-Zloch,karlsruhe,2021
"Lauer, Prof. Dr. Silvia",Professorin Fakultät TechnikLeiterin Multimedia Lernzentrum / Sprachenzentrum,Silvia Lauer,karlsruhe,2021
"Lausen, Prof. Dr. Ralph",Professor Fakultät Technik,Ralph Lausen,karlsruhe,2021
"Lautenschlager,  Evelyn",Akademische Mitarbeiterin im Fachbereich Gesundheit,Evelyn Lautenschlager,karlsruhe,2021
"Lee, Prof. Dr. Andrew",Professor Fakultät Wirtschaft,Andrew Lee,karlsruhe,2021
"Lennerts, Prof. Dr. Silke",Professor Fakultät Wirtschaft,Silke Lennerts,karlsruhe,2021
"Marschall,  Tanja",Akademische Mitarbeiterin im Fachbereich Gesundheit,Tanja Marschall,karlsruhe,2021
"Möbius, Prof. Dr. Christian",Professor Fakultät Wirtschaft,Christian Möbius,karlsruhe,2021
"Müller, Prof. Dr. Margitte",Studiengangsleiterin,Margitte Müller,karlsruhe,2021
"Nick, Prof. Dr. Albrecht",Leiter Studiengang Maschinenbau Wissenschaftlicher Leiter International Office,Albrecht Nick,karlsruhe,2021
"Oberschmidt, Prof. Dr.-Ing. Gerald",Professor Fakultät Technik Fachliche Beratung Master Elektrotechnik und Integrated Engineering Wissenschaftliche Leitung Master Elektrotechnik,Gerald Oberschmidt,karlsruhe,2021
"Paulsen, Prof. Dr. Pay-Uwe",Professor Fakultät Wirtschaft,Pay-Uwe Paulsen,karlsruhe,2021
"Reinhard,  Stefan",Akademischer Mitarbeiter im Projekt ExGra,Stefan Reinhard,karlsruhe,2021
"Reitze, Prof. Dr. Clemens",Professor Fakultät Technik,Clemens Reitze,karlsruhe,2021
"Röthig, Prof. Dr. Jürgen",Professor Fakultät Technik,Jürgen Röthig,karlsruhe,2021
"Schindler, Prof. Dr. Darius",Professor Fakultät WirtschaftJustiziar,Darius Schindler,karlsruhe,2021
"Schmitt,  Wibke",akademische Mitarbeiterin im Projekt BioPCM,Wibke Schmitt,karlsruhe,2021
"Schorr, Prof. Dr. Dietmar",Leiter Studiengang MaschinenbauWissenschaftliche Leitung Master MaschinenbauFachliche Beratung Master Maschinenbau und Wirtschaftsingenieurwesen,Dietmar Schorr,karlsruhe,2021
"Schwär,  Florian",wissenschaftlicher Mitarbeiter bei Herrn Prof. Kauffmann,Florian Schwär,karlsruhe,2021
"Tometten-Iseke, Prof. Dr. Anneliese",Professorin im Studiengang Angewandte Hebammenwissenschaft,Anneliese Tometten-Iseke,karlsruhe,2021
"Volkmann,  Anna",Akademische Mitarbeiterin im Studiengang Angewandte Hebammenwissenschaft,Anna Volkmann,karlsruhe,2021
"Walter,  Lukas",als akademischer Mitarbeiter im Projekt PolyProg bei Herrn Prof. Kauffmann,Lukas Walter,karlsruhe,2021
"Weber, Prof. Dr. Andreas",Professor Fakultät Wirtschaft,Andreas Weber,karlsruhe,2021
"Wuttke-Hilke,  Iris",Akademische Mitarbeiterin Fakultät Wirtschaft - Industrie,Iris Wuttke-Hilke,karlsruhe,2021
"Zeller,  Tanja",Akademische Mitarbeiterin im Studiengang Physician Assistant,Tanja Zeller,karlsruhe,2021
"Zimmerman, Prof. Dr. Eric",Professor Fakultät Technik,Eric Zimmerman,karlsruhe,2021
"Zimmermann, Prof. Dr. Ruth-Caroline",Professorin Fakultät Wirtschaft,Ruth-Caroline Zimmermann,karlsruhe,2021
"Amelingmeyer, Jenny, Prof., Dr.",Professorin Wirtschaftsingenieurwesen,Jenny Amelingmeyer,mannheim,2021
"Arzberger, Michael, Prof. Dr.",Professor Elektrotechnik,Michael Arzberger,mannheim,2021
"Balling, Stephan, Dr.",Vertretungsprofessor BWL - Gesundheitsmanagement,Stephan Balling,mannheim,2021
"Bauer, Jan Owe",Wissenschaftlicher Mitarbeiter,Jan Owe Bauer,mannheim,2021
"Baumgart, Jörg, Prof. Dr.-Ing.","Studiengangsleiter, Professor WI - E-Government",Jörg Baumgart,mannheim,2021
"Bayreuther, Konstantin, Prof. Dr.-Ing.","Studiengangsleiter, Professor Informatik",Konstantin Bayreuther,mannheim,2021
"Becher, Kai, Prof. Dr.","Studiengangsleiter, Professor Maschinenbau",Kai Becher,mannheim,2021
"Becker, Ralph, Dr.",Vertretungsprofessor BWL - Gesundheitsmanagement,Ralph Becker,mannheim,2021
"Beckmann, Carl-Christian, Prof. Dr.",Professor BWL - Öffentliche Wirtschaft,Carl-Christian Beckmann,mannheim,2021
"Bendl, Harald, Prof. Dr.","Studiengangsleiter, Professor WI - International Management for Business and Information Technology",Harald Bendl,mannheim,2021
"Bennemann, Kerstin, Prof. Dr.",Wissenschaftliche Leiterin Prüfungsamt,Kerstin Bennemann,mannheim,2021
"Berthold, Walter, Prof. Dr.",Professor Elektrotechnik,Walter Berthold,mannheim,2021
"Beverungen, Johannes, Prof. Dr.",Professor Kooperative Forschung im Bereich International Trade,Johannes Beverungen,mannheim,2021
"Boll, Michaela, Prof. Dr.",Professorin BWL - Immobilienwirtschaft,Michaela Boll,mannheim,2021
"Bordt, Marcel",Akademischer Mitarbeiter BWL - Gesundheitsmanagement,Marcel Bordt,mannheim,2021
"Botz, Martin, Prof. Dr.","Studiengangsleiter, Professor Maschinenbau",Martin Botz,mannheim,2021
"Bozkurt, Hulusi, Prof. Dr.","Studiendekan, Studiengangsleiter, Professor Maschinenbau",Hulusi Bozkurt,mannheim,2021
"Brandenburger, Markus, Prof. Dr.","Studiengangsleiter, Professor WI - Application Management",Markus Brandenburger,mannheim,2021
"Brumby, Lennart, Prof. Dr.",Studiengangsleiter Integrated Engineering,Lennart Brumby,mannheim,2021
"Buhleier, Marianne, Prof. Dr.",Professorin BWL - Handel,Marianne Buhleier,mannheim,2021
"Bühler, Denise, Dipl.-Verww. (FH)","Personalwesen Professor*innen Wirtschaft L-Z, Teamleitung Arbeitszeit - Fachbereich Personal",Denise Bühler,mannheim,2021
